Date,Open,High,Low,Close,Adj Close,Volume
2016-11-15,8.437870,8.449700,8.161740,8.343200,8.261693,32724417
2016-11-16,8.339250,8.433930,8.307690,8.331360,8.249969,20437432
2016-11-17,8.394480,8.544380,8.343200,8.512820,8.429656,25063315
2016-11-18,8.481260,8.520710,8.410260,8.445760,8.363252,16687881
2016-11-21,8.473370,8.473370,8.157790,8.165680,8.085907,36430835
2016-11-22,8.185400,8.264300,8.035500,8.126230,8.046844,37990326
2016-11-23,8.126230,8.276130,8.126230,8.220910,8.140598,22482528
2016-11-24,8.220910,8.244580,8.078900,8.173570,8.093720,27399601
2016-11-25,8.169630,8.169630,7.980280,8.145960,8.066381,18667972
2016-11-28,8.145960,8.205130,7.980280,7.996060,7.917944,24576494
2016-11-29,8.007890,8.197240,7.976330,8.142010,8.062469,23476134
2016-11-30,8.094680,8.264300,7.932940,8.067060,7.988251,28693959
2016-12-01,8.067060,8.122290,7.980280,8.011830,7.933561,17787947
2016-12-02,8.015780,8.047340,7.909270,7.972390,7.894506,13815455
2016-12-05,7.948720,8.228800,7.889550,8.197240,8.117159,32662862
2016-12-06,8.165680,8.489150,8.165680,8.406310,8.324187,33912350
2016-12-07,8.406310,8.473370,8.197240,8.362920,8.281221,21501686
2016-12-08,8.315580,8.437870,8.252470,8.398420,8.316375,12423418
2016-12-09,8.390530,8.390530,8.185400,8.197240,8.117159,19747608
2016-12-12,8.193290,8.193290,7.885600,7.905330,7.828101,22210251
2016-12-13,7.889550,7.960550,7.700200,7.893490,7.816377,17604991
2016-12-14,7.956610,7.956610,7.779090,7.822490,7.746070,11296682
2016-12-15,7.735700,7.928990,7.652860,7.747540,7.671853,16127344
2016-12-16,7.731760,7.759370,7.613410,7.712030,7.636689,17477473
2016-12-19,7.751480,7.763310,7.573970,7.625250,7.550757,13550446
2016-12-20,7.581850,7.633140,7.495070,7.554240,7.480442,12554954
2016-12-21,7.554240,7.850100,7.506900,7.712030,7.636689,14280506
2016-12-22,7.672580,7.854040,7.652860,7.712030,7.636689,12745110
2016-12-23,7.779090,7.779090,7.625250,7.712030,7.636689,8249670
2016-12-26,7.652860,8.027610,7.633140,7.968440,7.890594,26033677
2016-12-27,7.968440,8.216960,7.913220,8.102560,8.023405,19198502
2016-12-28,8.055230,8.157790,7.984220,8.067060,7.988251,10445796
2016-12-29,8.067060,8.106510,8.011830,8.047340,7.968724,8614226
2016-12-30,7.992110,8.185400,7.960550,8.185400,8.105435,18995030
2017-01-03,8.165680,8.173570,7.514790,7.692310,7.617162,46446360
2017-01-04,7.617360,8.027610,7.617360,7.940830,7.863255,33186709
2017-01-05,7.889550,7.948720,7.775150,7.854040,7.777312,15813263
2017-01-06,7.834320,7.901380,7.712030,7.786980,7.710907,10825202
2017-01-09,7.715980,7.865880,7.715980,7.775150,7.699193,8945662
2017-01-10,7.783040,7.956610,7.771200,7.869820,7.792938,8593284
2017-01-11,7.842210,7.936880,7.814600,7.873770,7.796850,10549886
2017-01-12,7.877710,7.913220,7.755420,7.786980,7.710907,12771124
2017-01-13,7.794870,7.948720,7.715980,7.877710,7.800751,13217986
